V4.p X,V4.p Y
0,-2.974442138200198e-06
5.000000000000012e-13,-2.974462768958824e-06
1.000000000000002e-12,-2.974465707077949e-06
1.500000000000004e-12,-2.974468398523863e-06
2.000000000000005e-12,-2.974470764256429e-06
2.500000000000006e-12,-2.974472864939495e-06
2.999999999000007e-12,-2.974474726555095e-06
3.499999999000008e-12,-2.974476362179871e-06
4.00000000000001e-12,-2.974477839353223e-06
4.50000000000001e-12,-2.97447913484071e-06
5.000000000000012e-12,-2.974480315802305e-06
5.500000000000013e-12,-2.974481339867393e-06
5.999999999000014e-12,-2.974482294069531e-06
6.499999999000016e-12,-2.974483116864068e-06
6.999999999000016e-12,-2.974483886783335e-06
7.500000000000018e-12,-2.974484544746626e-06
8.000000000000019e-12,-2.974485187200241e-06
8.500000000000021e-12,-2.974485711433337e-06
9.000000000000021e-12,-2.974486247128771e-06
9.500000000000022e-12,-2.974486672018908e-06
1.000000000000002e-11,-2.974487110312156e-06
1.050000000000003e-11,-2.974487464022623e-06
1.100000000000003e-11,-2.974487823813943e-06
1.150000000000003e-11,-2.974488117192999e-06
1.199999999900003e-11,-2.974488425893733e-06
1.249999999900003e-11,-2.974488657291481e-06
1.299999999900003e-11,-2.974488926259116e-06
1.349999999900003e-11,-2.974489117345176e-06
1.399999999900003e-11,-2.974489337419325e-06
1.449999999900003e-11,-2.974489500671152e-06
1.500000000000004e-11,-2.974489695822618e-06
1.550000000000004e-11,-2.974489820702493e-06
1.600000000000004e-11,-2.974489989319187e-06
1.650000000000004e-11,-2.974490093468591e-06
1.700000000000004e-11,-2.974490244363868e-06
1.750000000000004e-11,-2.97449032522173e-06
1.800000000000004e-11,-2.974490456775015e-06
1.850000000000004e-11,-2.974490530485746e-06
1.900000000000004e-11,-2.974490628088356e-06
1.950000000000005e-11,-2.974490705002652e-06
2.000000000000005e-11,-2.974490782992589e-06
2.050000000000005e-11,-2.974490842096573e-06
2.100000000000005e-11,-2.974490918595149e-06
2.150000000000005e-11,-2.974490963270064e-06
2.200000000000005e-11,-2.974491027500708e-06
2.250000000000005e-11,-2.97449107431667e-06
2.300000000000005e-11,-2.9744911222398e-06
2.350000000000005e-11,-2.974491171865715e-06
2.400000000000006e-11,-2.974491201127018e-06
2.450000000000006e-11,-2.97449124171852e-06
2.500000000000006e-11,-2.97449127517128e-06
2.550000000000006e-11,-2.974491307866832e-06
2.600000000000006e-11,-2.974491337277076e-06
2.650000000000006e-11,-2.974491363651109e-06
2.700000000000007e-11,-2.974491391081221e-06
2.750000000000006e-11,-2.974491412566259e-06
2.800000000000006e-11,-2.974491427913264e-06
2.850000000000007e-11,-2.974491464630592e-06
2.900000000000007e-11,-2.974491467294797e-06
2.950000000000007e-11,-2.974491502127922e-06
3.000000000000007e-11,-2.974491492620679e-06
3.050000000000007e-11,-2.974491539199145e-06
3.100000000000007e-11,-2.974491519255454e-06
