V5.p X,V5.p Y
0,-9.130799681384042e-07
5.000000000000012e-13,-9.130798630528352e-07
1.000000000000002e-12,-9.130798966614542e-07
1.500000000000004e-12,-9.130799249617808e-07
2.000000000000005e-12,-9.130799497891718e-07
2.500000000000006e-12,-9.130799666855933e-07
2.999999999000007e-12,-9.130799823630828e-07
3.499999999000008e-12,-9.130799923701585e-07
4.00000000000001e-12,-9.130800018676229e-07
4.50000000000001e-12,-9.130800068043976e-07
5.000000000000012e-12,-9.130800129350974e-07
5.500000000000013e-12,-9.130800149536461e-07
5.999999999000014e-12,-9.130800168661443e-07
6.499999999000016e-12,-9.13080018456339e-07
6.999999999000016e-12,-9.1308001864387e-07
7.500000000000018e-12,-9.130800186067165e-07
8.000000000000019e-12,-9.130800184038183e-07
8.500000000000021e-12,-9.130800175010974e-07
9.000000000000021e-12,-9.130800175282888e-07
9.500000000000022e-12,-9.13080014856622e-07
1.000000000000002e-11,-9.130800159637556e-07
1.050000000000003e-11,-9.130800125394481e-07
1.100000000000003e-11,-9.130800129475414e-07
1.150000000000003e-11,-9.130800109274809e-07
1.199999999900003e-11,-9.130800094610266e-07
1.249999999900003e-11,-9.130800090499307e-07
1.299999999900003e-11,-9.130800067139692e-07
1.349999999900003e-11,-9.130800071423747e-07
1.399999999900003e-11,-9.130800051339938e-07
1.449999999900003e-11,-9.1308000498568e-07
1.500000000000004e-11,-9.130800029532759e-07
1.550000000000004e-11,-9.130800037394998e-07
1.600000000000004e-11,-9.130800017941696e-07
1.650000000000004e-11,-9.130800022248942e-07
1.700000000000004e-11,-9.130800004587368e-07
1.750000000000004e-11,-9.130800003724483e-07
1.800000000000004e-11,-9.130799996796611e-07
1.850000000000004e-11,-9.130799996874191e-07
1.900000000000004e-11,-9.130799982380446e-07
1.950000000000005e-11,-9.130799993327632e-07
2.000000000000005e-11,-9.130799972182034e-07
2.050000000000005e-11,-9.130799988120627e-07
2.100000000000005e-11,-9.130799962027493e-07
2.150000000000005e-11,-9.130799985587609e-07
2.200000000000005e-11,-9.130799955243778e-07
2.250000000000005e-11,-9.130799983360404e-07
2.300000000000005e-11,-9.130799946318206e-07
2.350000000000005e-11,-9.130799987096336e-07
2.400000000000006e-11,-9.130799936123232e-07
2.450000000000006e-11,-9.130799990663454e-07
2.500000000000006e-11,-9.13079992820295e-07
2.550000000000006e-11,-9.130799991731535e-07
2.600000000000006e-11,-9.130799921641447e-07
